channelName,channelUrl,date,dislikes,duration,id,likes,numberOfSubscribers,title,url,viewCount
Magic Music,https://www.youtube.com/channel/UCp6_KuNhT0kcFk-jXw9Tivg,2020-12-19T00:00:00+00:00,4600,1:18:42,W9iUh23Xrsg,142000,3550000,New Year Music Mix 2021 ♫ Best Music 2020 Party Mix ♫ Remixes of Popular Songs,https://www.youtube.com/watch?v=W9iUh23Xrsg,12109051
LARRAY,https://www.youtube.com/channel/UCt_DaLB_NDqPVxezyvcfRtg,2020-10-19T00:00:00+00:00,115000,3:40,M06ju3qJqA4,2600000,8140000,Larray - Cancelled (Official Music Video),https://www.youtube.com/watch?v=M06ju3qJqA4,65813934
The Weeknd,https://www.youtube.com/channel/UC0WP5P-ufpRfjbNrmOWwLBQ,2021-01-05T00:00:00+00:00,62000,4:09,XXYlFuWEuKI,1800000,22400000,The Weeknd - Save Your Tears (Official Music Video),https://www.youtube.com/watch?v=XXYlFuWEuKI,69713745
LIL HUDDY,https://www.youtube.com/channel/UC9APf0VQtg1VriRFjk9RfFQ,2021-01-21T00:00:00+00:00,7600,0:20,Se9uoCExChE,157000,2010000,LILHUDDY - 21st Century Vampire (Official Music Video),https://www.youtube.com/watch?v=Se9uoCExChE,1016923
Drake,https://www.youtube.com/channel/UCByOQJjav0CUDwxCk-jVNRQ,2020-08-14T00:00:00+00:00,92000,0:15,JFm7YDVlqnI,2800000,23700000,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,https://www.youtube.com/watch?v=JFm7YDVlqnI,224054798
Post Malone,https://www.youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ,2018-10-18T00:00:00+00:00,323000,0:15,ApXoWvfEYVU,9100000,20800000,"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",https://www.youtube.com/watch?v=ApXoWvfEYVU,1337345449
Marshmello,https://www.youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,2018-09-24T00:00:00+00:00,285000,3:53,m7Bc3pLyij0,10000000,51000000,Marshmello ft. Bastille - Happier (Official Music Video),https://www.youtube.com/watch?v=m7Bc3pLyij0,747730129
DJ Khaled,https://www.youtube.com/channel/UC0Kgvj5t_c9EMWpEDWJuR1Q,2020-09-04T00:00:00+00:00,149000,0:15,3CxtK7-XtE0,3100000,10600000,DJ Khaled ft. Drake - POPSTAR (Official Music Video - Starring Justin Bieber),https://www.youtube.com/watch?v=3CxtK7-XtE0,156253288
Roddy Ricch,https://www.youtube.com/channel/UChQdA1rid5kKZh6oIc6DLNg,2020-02-28T00:00:00+00:00,129000,3:33,UNZqm3dxd2w,5400000,5200000,Roddy Ricch - The Box [Official Music Video],https://www.youtube.com/watch?v=UNZqm3dxd2w,291148274
Lil Dicky,https://www.youtube.com/channel/UC8rVJyj4zE0S9-sccMLifIA,2019-04-19T00:00:00+00:00,316000,7:11,pvuN_WvF1to,9900000,7430000,Lil Dicky - Earth (Official Music Video),https://www.youtube.com/watch?v=pvuN_WvF1to,294585040
The Weeknd,https://www.youtube.com/channel/UC0WP5P-ufpRfjbNrmOWwLBQ,2020-01-21T00:00:00+00:00,110000,0:30,4NRXx6U8ABQ,5300000,22400000,The Weeknd - Blinding Lights (Official Music Video),https://www.youtube.com/watch?v=4NRXx6U8ABQ,345052275
Billie Eilish,https://www.youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ,2020-11-12T00:00:00+00:00,144000,1:00,RUQl6YcMalg,5400000,37900000,Billie Eilish - Therefore I Am (Official Music Video),https://www.youtube.com/watch?v=RUQl6YcMalg,112624725
DaBaby,https://www.youtube.com/channel/UC2CCXzC56k0b8L49R_iW-Yw,2020-06-26T00:00:00+00:00,59000,7:09,mxFstYSbBmc,2100000,7170000,DaBaby - Rockstar feat. Roddy Ricch (Official Music Video),https://www.youtube.com/watch?v=mxFstYSbBmc,112524216
Ariana Grande,https://www.youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,2020-11-17T00:00:00+00:00,101000,0:15,B6_iQvaIjXw,3400000,46400000,Ariana Grande - 34+35 (official video),https://www.youtube.com/watch?v=B6_iQvaIjXw,125142213
Ariana Grande,https://www.youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,2020-10-23T00:00:00+00:00,114000,0:15,tcYodQoapMg,5600000,46400000,Ariana Grande - positions (official video),https://www.youtube.com/watch?v=tcYodQoapMg,209167421
Khalid,https://www.youtube.com/channel/UCkntT5Je5DDopF70YUsnuEQ,2018-11-09T00:00:00+00:00,103000,0:15,x3bfa3DZ8JM,2700000,8170000,Khalid - Better (Official Video),https://www.youtube.com/watch?v=x3bfa3DZ8JM,572511719
YUNGBLUD,https://www.youtube.com/channel/UCd3Llj2WWJh8ItfYl32eJ4Q,Invalid date,369,0:15,YdGad64abWM,97000,2010000,YUNGBLUD feat. Machine Gun Kelly - acting like that (Official Music Video),https://www.youtube.com/watch?v=YdGad64abWM,509489
Marshmello,https://www.youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,2016-07-02T00:00:00+00:00,690000,3:20,ALZHF5UqnU4,19000000,51000000,Marshmello - Alone (Official Music Video),https://www.youtube.com/watch?v=ALZHF5UqnU4,1948468500
Cafe Music BGM channel,https://www.youtube.com/channel/UCJhjE7wbdYAae1G25m0tHAA,2018-09-27T00:00:00+00:00,1600,2:36:05,1mmxuuVmST4,63000,2780000,Norah Jones Cover - Relaxing Cafe Music - Chill Out Jazz &amp; Bossa Nova arrange.,https://www.youtube.com/watch?v=1mmxuuVmST4,7507303
Lil Skies,https://www.youtube.com/channel/UCLEyFXOmaIgG6h4_6wqLx7Q,Invalid date,100,2:48,ubfQLNALIic,20000,2620000,Lil Skies - Dead Broke [Official Music Video],https://www.youtube.com/watch?v=ubfQLNALIic,78769
